request_rate,unique_endpoint_count,method_ratio,avg_payload_size,error_rate,repeated_parameter_ratio,user_agent_entropy,avg_response_time,max_response_time,is_anomalous
10.0,6,1.2,16.8,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,29.2,0.0,0.7,-0.0,158.2,179,0
10.0,9,4.5,23.4,0.0,0.9,-0.0,157.7,179,0
10.0,9,4.5,7.2,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,14.5,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,24.8,0.0,0.8,-0.0,157.8,179,0
10.0,9,4.5,24.1,0.0,0.9,-0.0,157.6,180,0
10.0,7,1.75,13.4,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,33.3,0.0,0.6,-0.0,158.7,180,0
10.0,9,4.5,27.6,0.0,0.9,-0.0,158.1,183,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,16.3,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,32.2,0.0,0.8,-0.0,158.0,182,0
10.0,9,4.5,26.8,0.0,0.9,-0.0,158.0,182,0
10.0,8,2.6666666666666665,13.6,0.0,0.7,-0.0,156.8,163,0
10.0,7,1.2,31.6,0.0,0.7,-0.0,158.5,180,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,26.6,0.0,0.9,-0.0,157.8,182,0
10.0,6,1.2,17.3,0.0,0.6,-0.0,157.2,163,0
10.0,7,1.75,30.3,0.0,0.7,-0.0,158.2,180,0
10.0,9,4.5,23.9,0.0,0.9,-0.0,157.7,179,0
10.0,9,4.5,7.4,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,14.2,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,28.8,0.0,0.8,-0.0,158.2,183,0
10.0,9,4.5,26.6,0.0,0.9,-0.0,157.8,182,0
10.0,7,1.75,14.2,0.0,0.7,-0.0,156.9,163,0
10.0,6,1.2,34.1,0.0,0.6,-0.0,158.7,181,0
10.0,9,4.5,25.1,0.0,0.9,-0.0,157.9,181,0
